Label,Has a bow ,Wear Clothes,Less than 5 apples tall,Has whiskers,Has round face,Has cat ears,Walks on 2 feet
Girl,Yes,Yes,No,No,Yes,No,Yes
Girl,Yes,Yes,Yes,No,No,No,Yes
Girl,No,Yes,No,No,No,No,Yes
Girl,Yes,Yes,No,No,Yes,No,Yes
Girl,No,Yes,No,No,Yes,No,No
Girl,No,Yes,No,No,Yes,No,Yes
Girl,Yes,Yes,No,No,Yes,No,Yes
Girl,No,Yes,No,No,Yes,No,Yes
Girl,No,Yes,No,Yes,Yes,Yes,Yes
Cat,No,No,No,Yes,Yes,Yes,No
Cat,No,Yes,No,Yes,Yes,Yes,Yes
Cat,Yes,No,Yes,Yes,Yes,Yes,No
Cat,No,No,No,Yes,Yes,Yes,No
Cat,Yes,No,No,Yes,Yes,Yes,No
Cat,No,No,Yes,No,Yes,Yes,No
Cat,Yes,Yes,Yes,Yes,Yes,Yes,No
Cat,Yes,No,Yes,Yes,Yes,Yes,No
